campus_name,campus_location,rating,students,community_type,city,state,lat_long
University of Rochester,"Rochester, NY",5.0,10182,medium city,Rochester, NY,"(43.157285, -77.615214)"
"University California, Irvine","Irvine, CA",3.5,29000,medium city,Irvine, CA,"(33.6856969, -117.825981)"
Washington College,"Chestertown, MD",3.5,1420,very small town,Chestertown, MD,"(39.2089986, -76.0666126)"
Illinois State University,"Normal, IL",4.0,20000,small city,Normal, IL,"(40.5092961, -88.9843937)"
University of Miami,"Coral Gables, FL",4.0,16397,large urban city,Coral Gables, FL,"(25.7331105, -80.2585107)"
University of Kentucky,"Lexington, KY",5.0,30000,medium city,Lexington, KY,"(38.0464066, -84.4970393)"
University of Wisconsin - Oshkosh,"Oshkosh, WI",4.5,14000,small city,Oshkosh, WI,"(44.0206919, -88.5408574)"
Oregon State University,"Corvallis, OR",4.0,28000,small city,Corvallis, OR,"(44.5645659, -123.2620435)"
North Dakota State University,"Fargo, ND",3.5,14500,medium city,Fargo, ND,"(46.877229, -96.789821)"
University at Albany - SUNY,"Albany, NY",5.0,18000,medium city,Albany, NY,"(42.6511674, -73.754968)"
Michigan Technological University,"Houghton, MI",3.5,7238,rural community,Houghton, MI,"(46.8591287, -88.7774734)"
Colby College,"Waterville, ME",3.5,2299,small town,Waterville, ME,"(44.5524176, -69.6313607)"
Northern Kentucky University,"Highland Heights, KY",5.0,16000,medium city,Highland Heights, KY,"(39.0330902, -84.4521512)"
Eckerd College,"St. Petersburg, FL",3.0,1950,medium city,St. Petersburg, FL,"(59.938732, 30.316229)"
Guilford College,"Greensboro, NC",5.0,1200,medium city,Greensboro, NC,"(36.0726355, -79.7919754)"
University of North Dakota,"Grand Forks, ND",4.0,14172,small city,Grand Forks, ND,"(47.9252042, -97.0306741)"
University of Wisconsin - Green Bay,"Green Bay, WI",5.0,9780,medium city,Green Bay, WI,"(44.5126379, -88.0125794)"
Georgia College & State University,"Milledgeville, GA",3.0,6800,small town,Milledgeville, GA,"(33.0801429, -83.2320991)"
University of Pittsburgh at Bradford,"Bradford, PA",3.5,1500,rural community,Bradford, PA,"(53.7944229, -1.7519186)"
University of Kansas,"Lawrence, KS",4.5,28000,small city,Lawrence, KS,"(41.001415, -80.350071)"
Baldwin Wallace University,"Berea, OH",4.0,3500,small town,Berea, OH,"(41.3661614, -81.8543026)"
Rochester Institute of Technology,"Rochester, NY",4.0,18897,medium city,Rochester, NY,"(43.157285, -77.615214)"
University of Maine at Machias,"Machias, ME",4.5,800,rural community,Machias, ME,"(44.7143592, -67.4582679)"
University of Wisconsin - Whitewater,"Whitewater, WI",4.0,12000,small town,Whitewater, WI,"(37.9647365, -97.1475347)"
San Francisco State University,"San Francisco, CA",3.5,29905,large urban city,San Francisco, CA,"(37.7792588, -122.4193286)"
Swarthmore College,"Swarrthmore, PA",4.0,1699,large urban city,Swarrthmore, PA,"(nan, nan)"
University of Texas at Dallas,"Richardson, TX",5.0,27642,medium city,Richardson, TX,"(40.1194651, -95.7607517)"
Red Rocks Community College,"Lakewood, CO",3.5,4297,medium city,Lakewood, CO,"(39.7085736, -105.0846694)"
Colgate University,"Hamilton, NY",4.5,3228,rural community,Hamilton, NY,"(43.2560802, -79.8728583)"
Bard College at Simon's Rock,"Great Barrington, MA",4.5,400,very small town,Great Barrington, MA,"(42.1939364, -73.362773)"
Kent State University,"Kent, OH",5.0,28000,small city,Kent, OH,"(51.20707485, 0.7210361813401444)"
Purdue University,"West Lafayette, IN",5.0,49000,small city,West Lafayette, IN,"(40.4258686, -86.9080655)"
Kenyon College,"Gambier, OH",4.0,1730,rural community,Gambier, OH,"(40.375643, -82.3970994)"
Widener University,"Chester, PA",4.0,6300,small city,Chester, PA,"(53.1908873, -2.8908955)"
College of Wooster,"Wooster, OH",4.0,2000,small city,Wooster, OH,"(40.7980976, -81.9397733)"
University of Wisconsin - Milwaukee,"Milwaukee, WI, WI",4.5,23829,large urban city,Milwaukee, WI,"(43.0386475, -87.9090751)"
University of Maine at Farmington,"Farmington, ME",4.5,1800,very small town,Farmington, ME,"(44.6402434, -93.1435497)"
"St. John's College, Annapolis","Annapolis, MD",3.5,450,small city,Annapolis, MD,"(38.9786401, -76.492786)"
Drexel University,"Philadelphia, PA",3.5,14000,large urban city,Philadelphia, PA,"(39.9527237, -75.1635262)"
